x,y
1., 1.
1.1299318650614862, 0.9792445085490386
1.2602566891675993, 0.9175944185142743
1.3762679498649173, 0.8303614396564836
1.4791833923917854, 0.7298461126252869
1.5723931008295535, 0.6223045500641246
1.6586892179202026, 0.5108125789466303
1.740082154954353, 0.39702945228629866
1.8180319599393373, 0.28195841058709126
1.8936481365568076, 0.16628115944365063
1.967824001280039, 0.050520425220392615
2.0413261075225133, -0.06486931621167327
2.114857360476927, -0.1794403321714686
2.1891059062828315, -0.2926976825767813
2.264787079499435, -0.4040376782195121
2.3426819299050226, -0.5126629923913382
2.423670841114724, -0.6174529867178401
2.5087495285079786, -0.7167579763105463
2.5989836845683243, -0.8080776090498937
2.6952667471351477, -0.8876065199154661
2.797471523280348, -0.9498216886980033
2.901884696133991, -0.9881471318011322
2.999999982134596, -0.9999999999999996
3.129931865061507, -0.9792445085490321
3.2602566891676243, -0.9175944185142585
3.3762679498649573, -0.8303614396564488
3.479183392391853, -0.7298461126252148
3.572393100829676, -0.6223045500639743
3.6586892179204327, -0.51081257894632
3.7400821549547962, -0.39702945228566033
3.8180319599401993, -0.2819584105857918
3.8936481365585007, -0.1662811594410288
3.9678240012833874, -0.05052042521513956
4.041326107529178, 0.06486931622211906
4.114857360490257, 0.17944033219206604
4.189105906309622, 0.29269768261701895
4.264787079553548, 0.40403767829726545
4.342681930014911, 0.5126629925395416
4.423670841339207, 0.617452986995211
4.50874952896967, 0.7167579768162599
4.598983685525334, 0.8080776099354321
4.695266749136437, 0.8876065213634243
4.797471527501487, 0.949821690771985
4.901884705066705, 0.9881471339551005
5.000000000000017, 1.
5.136770382119202, 0.977010855442398
5.266461955404096, 0.9136762005223964
5.38174132524696, 0.8255400339302734
5.48408756006272, 0.7245583432919737
5.576889199675362, 0.6167607611387943
5.662895597649921, 0.5051211697596913
5.744083602315597, 0.39125281658268857
5.82189138996341, 0.27613685753431805
5.8974147771399945, 0.16044402683631923
5.971538749743277, 0.0446919362550912
6.045025130341755, -0.07066636194841582
6.118574645311175, -0.1851815626722321
