x, y
0., 2.
4., 2.
0.4, 2.
0.8, 2.
1.2000000000000002, 2.
1.6, 2.
2., 2.
2.4000000000000004, 2.
2.8000000000000003, 2.
3.2, 2.
3.6, 2.
